GPA 0,2013  2016,Bachelor of Science (BS),,Columbia Engineering,Software Engineering Intern,The MathWorks,May 2015  Aug 2015,4 mos,Software Engineering Intern,AppNexus,May 2016  Aug 2016,4 mos,Software Engineer,AppNexus,Feb 2017  Present,10 mos
GPA 0,2012  2016,Bachelor of Science (B.S.),,Columbia University in the City of New York,Web Developer Intern,InquisitHealth,Aug 2013  Jan 2014,6 mos,Software Engineer,Vigme,2014  2015,1 yr,Software Engineer,Fundera,Jun 2015  Present,2 yrs 6 mos
GPA 0,2013  2017,Bachelor's Degree,,Cornell University,Software Development Engineer Intern,Amazon,Jun 2016  Aug 2016,3 mos,Teaching Assistant,Cornell University,Aug 2015  May 2017,1 yr 10 mos,Software Engineer,Google,Aug 2017  Present,4 mos
3.7,2006  2010,Bachelor of Arts,,University of Chicago,Fellow,Math for America,May 2010  Sep 2015,5 yrs 5 mos,Junior Software Engineer,Recombine,Feb 2016  May 2016,4 mos,Software Engineer,Phosphorus,May 2016  Present,1 yr 7 mos
GPA 0,2012,Bachelor of Science (B.S.),,State University of New York College at Oneonta,Software Engineer,|1-800-FLOWERS.COM, INC.|,Jan 2015  Jun 2016,1 yr 6 mos,Software Engineer,Zipdrug,Jun 2016  Apr 2017,11 mos,Software Engineer,|LifeCo, Inc.|,Apr 2017  Present,8 mos
magna cum laude,2013  2017,Bachelors Degree,,Wellesley College,Software Engineering Intern,Zappos Family of Companies,Jun 2016  Aug 2016,3 mos,Supplemental Instruction Leader,Wellesley College,Jan 2015  May 2017,2 yrs 5 mos,Software Engineer,Google,Jul 2017  Present,5 mos
GPA 0,2010  2014,,,University of Miami,Software Engineer Intern (Windows),Microsoft,May 2013  Aug 2013,4 mos,Software Engineer Intern (Windows),Microsoft,May 2014  Aug 2014,4 mos,Software Engineer,Microsoft,May 2015  Present,2 yrs 7 mos
Senior,2013  2017,Bachelor of Science (B.S.),,Northwestern University,Director of the Midwest,TAMID Group,Aug 2015  Oct 2016,1 yr 3 mos,Chapter President,TAMID Group,Jan 2016  Jan 2017,1 yr 1 mo,Software Engineer,Google,Sep 2017  Present,3 mos
GPA 0,2008  2012,Bachelor of Science (BS),,Massachusetts Institute of Technology,Partner,Caffeinated Analytics,Jan 2015  Jun 2016,1 yr 6 mos,|Software Engineer, Infrastructure|,Uber,Jun 2016  Jun 2017,1 yr 1 mo,|Software Engineer, Search|,Google,Jul 2017  Present,5 mos
GPA 0,2016  2017,,,University of Rochester,Recurser / Programmer,Recurse Center,May 2015  Aug 2015,4 mos,Software Engineering Intern,Etsy,Jun 2016  Aug 2016,3 mos,Software Development Engineer,Microsoft,Sep 2017  Present,3 mos
GPA 0,2014  2017,Bachelor's of Science,,Stony Brook University,Software Engineer Intern,The Research Foundation for SUNY,Nov 2014  May 2016,1 yr 7 mos,Software Engineer Intern,J.P. Morgan,Jun 2016  Aug 2016,3 mos,Software Engineer,J.P. Morgan,Jun 2017  Present,6 mos
GPA 0,2005  2007,Bachelor's degree,,University of Virginia,Fellow,Fog Creek Software,Apr 2015  May 2015,2 mos,Software Engineer,BounceX,May 2015  Jun 2017,2 yrs 2 mos,|Software Engineer, Emerging Platforms|,Group Nine Media,Sep 2017  Present,3 mos
GPA 0,2012  2016,Bachelor of Arts (BA),,Pomona College,Computer Science Teaching Assistance,Pomona College,Sep 2013  Dec 2014,1 yr 4 mos,Software Engineer Intern,Google,May 2015  Aug 2015,4 mos,Software Engineer,Google,Sep 2016  Present,1 yr 3 mos
GPA 0,2004  2009,B.S.,,State University of New York College at Buffalo,Software Engineer,|Greenhouse Software, Inc.|,Mar 2016  Oct 2016,8 mos,Senior Software Engineer,Dia.co,Jan 2017  Mar 2017,3 mos,Senior Software Engineer,ShopKeep,May 2017  Present,7 mos
GPA 0,2015  2017,Master's degree,,Stony Brook University,Software Engineer,Unbxd Inc,Feb 2014  May 2015,1 yr 4 mos,Software Engineering Intern,Eyeview,Jun 2016  Aug 2016,3 mos,Software Engineer,Eyeview,Feb 2017  Present,10 mos
3.6/4.0,2003  2007,BA,,Yale University,|Manager, Media Solutions|,Facebook,Jan 2012  May 2014,2 yrs 5 mos,Software Engineer,CB Insights,Jan 2015  Feb 2017,2 yrs 2 mos,Partner,Mango Tech Creative,May 2017  Present,7 mos
GPA 0,2010  2014,Bachelor of Science (BS),,University of Rochester,Web Developer - Part Time,Relevant Mobile,Jul 2014  Nov 2014,5 mos,Software Engineer,SinglePlatform,Oct 2014  Sep 2016,2 yrs,Software Engineer,Axial,Sep 2016  Present,1 yr 3 mos
GPA 0,2017  2017,,,MITx on edX,Reliability Engineering Intern,AppNexus,Jun 2015  Aug 2015,3 mos,Reliability Software Engineer,AppNexus,Sep 2015  Nov 2016,1 yr 3 mos,DevOps Engineer,dailymotion,May 2017  Present,7 mos
GPA 0,2010  2014,Bachelor's degree,,Stony Brook University,Technical Services Analyst,Epic,Aug 2014  May 2015,10 mos,Test Automation Engineer,|Greenhouse Software, Inc.|,Jan 2016  Jan 2017,1 yr 1 mo,Software Engineer II,Greenhouse Software,Jan 2017  Present,11 mos
GPA 0,2012  2016,Bachelor of Science and Engineering,,Princeton University,Software Engineering Intern,AppNexus,Jun 2015  Aug 2015,3 mos,Lab TA (Teaching Assistant),Princeton University,Sep 2014  Jun 2016,1 yr 10 mos,Software Engineer,AppNexus,Jul 2016  Present,1 yr 5 mos
GPA 0,2012  2016,BS,,University of Rochester,Software Developer Internship,EarthLink Business,May 2014  Aug 2014,4 mos,Software Engineer,SmartFinance LLC,Jun 2015  Oct 2016,1 yr 5 mos,Software Engineer,TD,Nov 2016  Present,1 yr 1 mo
GPA 0,2013  2017,Bachelors Degree,,Vanderbilt University,Software Engineer Intern,Microsoft,May 2015  Aug 2015,4 mos,Software Engineer Intern,Microsoft,May 2016  Aug 2016,4 mos,Software Engineer,Facebook,Aug 2017  Present,4 mos
GPA 0,2017  2017,,,Product School,Intern,Viacom,Oct 2015  Dec 2015,3 mos,Summer Associate - Software Engineer,Viacom,May 2016  Aug 2016,4 mos,Software Engineer,Viacom,Aug 2016  Present,1 yr 4 mos
GPA 0,2014  2014,,,Fullstack Academy of Code,Photographer,Adam Barcan Photography,2014  2015,1 yr,Test Automation Engineer,|Greenhouse Software, Inc.|,Dec 2014  Dec 2015,1 yr 1 mo,|Software Engineer, Product|,|Greenhouse Software, Inc.|,Dec 2015  Present,2 yrs
GPA 0,2002  2006,Bachelor's degree,,Universit du Qubec  Montral,Fullstack developer,FUIR LLC,2014  2015,1 yr,Freelance Web Developer,Qu,2015  2015,less than a year,Software Engineer,|Greenhouse Software, Inc.|,Apr 2015  Present,2 yrs 8 mos
|3.8 Computer Science/Math, 3.56 overall|,2012  2016,Bachelors Degree,,New York University,Freelance Software Engineer,United Restaurants,Mar 2017  Jul 2017,5 mos,Lead Software Engineer,Scoutsee,Sep 2016  Oct 2017,1 yr 2 mos,Software Engineer,Facebook,Oct 2017  Present,2 mos
GPA 0,2011  2015,Bachelor of Arts (B.A.),,New York University,Software Engineer,Shoptiques.com,Oct 2014  Mar 2015,6 mos,Software Engineer,Boxed,Aug 2015  Sep 2017,2 yrs 2 mos,Software Engineer,Zocdoc,Sep 2017  Present,3 mos
